name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;297;0;642;3051;1066;3051;1066;0
header;189;122;189;163;1821;163;1821;122
A;368;249;368;264;376;264;376;249
A;993;601;993;603;996;603;996;601
B;995;862;995;888;1015;888;1015;862
D;473;926;473;954;507;954;507;926
B;830;1350;830;1369;845;1369;845;1350
C;995;1527;995;1556;1017;1556;1017;1527
D;998;2198;998;2225;1022;2225;1022;2198
A;1038;2213;1038;2228;1045;2228;1045;2213
B;966;2439;966;2455;975;2455;975;2439
B;847;2531;847;2546;855;2546;855;2531
