name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;229;0;543;3039;1051;3039;1096;0
header;232;143;232;177;1867;177;1867;143
A;1036;207;1036;236;1058;236;1058;207
B;937;396;937;415;952;415;952;396
B;1039;887;1039;919;1058;919;1058;887
B;384;1373;384;1392;399;1392;399;1373
C;1035;1557;1035;1586;1055;1586;1055;1557
B;762;1650;762;1665;770;1665;770;1650
B;577;1891;577;1910;590;1910;590;1891
D;560;2158;560;2184;594;2184;594;2158
A;1031;2196;1031;2196;1031;2196;1031;2196
D;1038;2227;1038;2255;1058;2255;1058;2227
B;678;2303;678;2319;686;2319;686;2303
C;696;2623;696;2641;710;2641;710;2623
